"SpecCode","Genus","Species","SpeciesRefNo","FBname","SubFamily","FamCode","GenCode","SubGenCode","Family","Order","Class"
48039,"Abyssocottus","elochini",26334,NA,NA,584,349,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48040,"Abyssocottus","gibbosus",26334,NA,NA,584,349,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
47208,"Abyssocottus","korotneffi",2058,NA,NA,584,349,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48048,"Asprocottus","abyssalis",26334,NA,NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48049,"Asprocottus","herzensteini",2058,"Herzenstein's rough sculpin",NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
61488,"Asprocottus","intermedius",26334,NA,NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
60302,"Asprocottus","korjakovi",53210,NA,NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
62234,"Asprocottus","minor",53210,NA,NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48051,"Asprocottus","parmiferus",26334,NA,NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48054,"Asprocottus","platycephalus",26334,NA,NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48055,"Asprocottus","pulcher",26334,NA,NA,584,5868,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48058,"Cottinella","boulengeri",26334,"Short-headed sculpin",NA,584,2162,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48060,"Cyphocottus","eurystomus",26334,NA,NA,584,6573,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48064,"Cyphocottus","megalops",2058,NA,NA,584,6573,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48059,"Limnocottus","bergianus",2058,NA,NA,584,5869,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48061,"Limnocottus","godlewskii",26334,NA,NA,584,5869,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48062,"Limnocottus","griseus",26334,NA,NA,584,5869,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48083,"Limnocottus","pallidus",26334,NA,NA,584,5869,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
60304,"Neocottus","thermalis",53210,NA,NA,584,3357,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48042,"Neocottus","werestschagini",2058,NA,NA,584,3357,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
60303,"Procottus","gotoi",53210,NA,NA,584,5458,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48085,"Procottus","gurwicii",2058,"Dwarf sculpins",NA,584,5458,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48084,"Procottus","jeittelesii",2058,"Red sculpin",NA,584,5458,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
48087,"Procottus","major",26334,NA,NA,584,5458,NA,"Abyssocottidae","Scorpaeniformes","Actinopterygii"
4306,"Acanthurus","achilles",1920,"Achilles tang","Acanthurinae",412,9710,NA,"Acanthuridae","Perciformes","Actinopterygii"
13770,"Acanthurus","albipectoralis",2334,"Whitefin surgeonfish","Acanthurinae",412,9710,NA,"Acanthuridae","Perciformes","Actinopterygii"
4748,"Acanthurus","auranticavus",1920,"Orange-socket surgeonfish","Acanthurinae",412,9710,NA,"Acanthuridae","Perciformes","Actinopterygii"
942,"Acanthurus","bahianus",7251,"Ocean surgeon","Acanthurinae",412,9710,NA,"Acanthuridae","Perciformes","Actinopterygii"
4307,"Acanthurus","bariene",1920,"Black-spot surgeonfish","Acanthurinae",412,9710,NA,"Acanthuridae","Perciformes","Actinopterygii"
4750,"Acanthurus","blochii",1921,"Ringtail surgeonfish","Acanthurinae",412,9710,NA,"Acanthuridae","Perciformes","Actinopterygii"
