"SpecCode","Species","Genus","Subfamily","Family","Order","Class","SuperClass"
"64588","Aapticheilichthys websteri","Aapticheilichthys","Procatopodinae","Procatopodidae","Cyprinodontiformes","Actinopteri","Osteichthyes"
"16239","Aaptosyax grypus","Aaptosyax","Cyprininae","Cyprinidae","Cypriniformes","Actinopteri","Osteichthyes"
"2347","Abactochromis labrosus","Abactochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes","Actinopteri","Osteichthyes"
"62612","Abalistes filamentosus","Abalistes",NA,"Balistidae","Tetraodontiformes","Actinopteri","Osteichthyes"
"9","Abalistes stellaris","Abalistes",NA,"Balistidae","Tetraodontiformes","Actinopteri","Osteichthyes"
"58334","Abalistes stellatus","Abalistes",NA,"Balistidae","Tetraodontiformes","Actinopteri","Osteichthyes"
"62797","Abbottina binhi","Abbottina",NA,"Gobionidae","Cypriniformes","Actinopteri","Osteichthyes"
"65146","Abbottina lalinensis","Abbottina",NA,"Gobionidae","Cypriniformes","Actinopteri","Osteichthyes"
"55145","Abbottina liaoningensis","Abbottina",NA,"Gobionidae","Cypriniformes","Actinopteri","Osteichthyes"
"55143","Abbottina obtusirostris","Abbottina",NA,"Gobionidae","Cypriniformes","Actinopteri","Osteichthyes"
"22903","Abbottina rivularis","Abbottina",NA,"Gobionidae","Cypriniformes","Actinopteri","Osteichthyes"
"8049","Ablabys binotatus","Ablabys",NA,"Tetrarogidae","Perciformes/Scorpaenoidei","Actinopteri","Osteichthyes"
"69366","Ablabys gymnothorax","Ablabys",NA,"Tetrarogidae","Perciformes/Scorpaenoidei","Actinopteri","Osteichthyes"
"25701","Ablabys macracanthus","Ablabys",NA,"Tetrarogidae","Perciformes/Scorpaenoidei","Actinopteri","Osteichthyes"
"69367","Ablabys pauciporus","Ablabys",NA,"Tetrarogidae","Perciformes/Scorpaenoidei","Actinopteri","Osteichthyes"
"10232","Ablabys taenianotus","Ablabys",NA,"Tetrarogidae","Perciformes/Scorpaenoidei","Actinopteri","Osteichthyes"
"972","Ablennes hians","Ablennes",NA,"Belonidae","Beloniformes","Actinopteri","Osteichthyes"
"46918","Aboma etheostoma","Aboma","Gobiinae","Gobiidae","Gobiiformes","Actinopteri","Osteichthyes"
"67299","Aborichthys cataracta","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"24516","Aborichthys elongatus","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"24517","Aborichthys garoensis","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"24523","Aborichthys kempi","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"65802","Aborichthys rosammai","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"24524","Aborichthys tikaderi","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"67300","Aborichthys verticauda","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"67609","Aborichthys waikhomi","Aborichthys",NA,"Nemacheilidae","Cypriniformes","Actinopteri","Osteichthyes"
"268","Abramis brama","Abramis","Leuciscinae","Leuciscidae","Cypriniformes","Actinopteri","Osteichthyes"
"14737","Abramites eques","Abramites",NA,"Anostomidae","Characiformes","Actinopteri","Osteichthyes"
"10768","Abramites hypselonotus","Abramites",NA,"Anostomidae","Characiformes","Actinopteri","Osteichthyes"
"6652","Abudefduf abdominalis","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"6517","Abudefduf bengalensis","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"11793","Abudefduf concolor","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"55476","Abudefduf conformis","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"55868","Abudefduf declivifrons","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"11811","Abudefduf hoefleri","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"5685","Abudefduf lorenzi","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"11823","Abudefduf margariteus","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"11825","Abudefduf natalensis","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"69265","Abudefduf nigrimargo","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"5686","Abudefduf notatus","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"1119","Abudefduf saxatilis","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"5687","Abudefduf septemfasciatus","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"5688","Abudefduf sexfasciatus","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"5689","Abudefduf sordidus","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"8018","Abudefduf sparoides","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"1120","Abudefduf taurus","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"8245","Abudefduf troschelii","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"6630","Abudefduf vaigiensis","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"9626","Abudefduf whitleyi","Abudefduf","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Actinopteri","Osteichthyes"
"63844","Abyssoberyx levisquamosus","Abyssoberyx",NA,"Stephanoberycidae","Beryciformes","Actinopteri","Osteichthyes"
"17075","Abyssobrotula galatheae","Abyssobrotula","Neobythitinae","Ophidiidae","Ophidiiformes","Actinopteri","Osteichthyes"
"48039","Abyssocottus elochini","Abyssocottus",NA,"Cottidae","Perciformes/Cottoidei","Actinopteri","Osteichthyes"
"48040","Abyssocottus gibbosus","Abyssocottus",NA,"Cottidae","Perciformes/Cottoidei","Actinopteri","Osteichthyes"
"47208","Abyssocottus korotneffi","Abyssocottus",NA,"Cottidae","Perciformes/Cottoidei","Actinopteri","Osteichthyes"
"14532","Acanthaluteres brownii","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Actinopteri","Osteichthyes"
"51356","Acanthaluteres spilomelanurus","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Actinopteri","Osteichthyes"
"14550","Acanthaluteres vittiger","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Actinopteri","Osteichthyes"
