Name,Common_Name,Species,maxage,R0,M,M2,Mexp,Msd,h,SRrel,Perr,AC,Period,Amplitude,Linf,K,t0,LenCV,Ksd,Linfsd,L50,L50_95,D,a,b,Size_area_1,Frac_area_1,Prob_staying,Fdisc,Source
BlackSeaBass,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
BluelineTilefish,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobia,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gag,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoldenTilefish,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrayTriggerfish,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreaterAmberjack,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
MenhadenAtl,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedGrouper,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedPorgy,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedSnapper,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnowyGrouper,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpanishMackerel,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
VermilionSnapper,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
